ow,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,1,y+n = q*r+s*r,48:44.0,48:55.0,49:02.0,49:02.0,18,,18,0,1,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,1,di-expr,49:02.0,49:06.0,49:06.0,49:06.0,4,4,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,1,INNERr1,49:06.0,49:10.0,49:10.0,49:10.0,4,4,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,1,INNERr2,49:10.0,49:13.0,49:13.0,49:13.0,3,3,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,1,FinalAnswer,49:13.0,49:18.0,49:29.0,49:29.0,16,,16,0,1,0,1,factor-sp,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,y+n = q*r+s*r,15:18.0,15:59.0,16:19.0,16:19.0,61,,61,0,1,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,di-expr,16:19.0,16:22.0,16:22.0,16:22.0,3,3,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,INNERr1,16:22.0,16:26.0,16:26.0,16:26.0,4,4,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,INNERr2,16:26.0,16:28.0,16:28.0,16:28.0,2,2,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,FinalAnswer,16:28.0,16:37.0,16:37.0,16:37.0,9,9,,1,0,0,1,factor-sp,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,y+n = r*(q+s),16:37.0,17:26.0,18:49.0,18:49.0,132,,132,0,3,2,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],87,,,,,,,,,,,,,,,,,,,,
797,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT51A,2,(y+n)/(q+s) = r*(q+s)/(q+s),18:49.0,18:53.0,18:53.0,19:35.0,46,46,,1,1,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT50A,1,m*k-n*m = g*s,19:42.0,20:28.0,20:28.0,20:28.0,46,46,,1,0,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT50A,1,di-expr,20:28.0,20:30.0,20:30.0,20:30.0,2,2,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT50A,1,INNERm1,20:30.0,20:33.0,20:33.0,20:33.0,3,3,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT50A,1,INNERm2,20:33.0,20:34.0,20:47.0,20:47.0,8,,8,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0BrbPbwCMz,Unit ES_07, Section ES_07-2,LIT50A,1,FinalAnswer,20:34.0,20:40.0,21:02.0,21:02.0,21,,21,0,1,0,1,factor-sp,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R1C1,24:35.0,26:33.0,26:33.0,26:33.0,118,118,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R2C1,28:02.0,28:35.0,28:35.0,28:35.0,33,33,,1,0,0,1,Identifying units,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R1C2,26:33.0,26:48.0,30:39.0,30:39.0,34,,34,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R5C2,31:35.0,31:41.0,31:41.0,31:41.0,6,6,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,1~~1~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R6C2,32:48.0,33:09.0,33:09.0,33:09.0,21,21,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,2~~2~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R5C1,29:49.0,30:20.0,33:20.0,33:20.0,83,,83,0,3,0,1,Entering a given,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R6C1,32:18.0,32:25.0,33:27.0,33:27.0,14,,14,0,1,0,1,Entering a given,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R4C1,26:48.0,28:02.0,33:53.0,33:53.0,192,,192,0,5,1,1,Entering a given~~Convert unit, multiplier,3~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R2C2,32:33.0,32:48.0,34:07.0,34:07.0,29,,29,0,1,0,1,Identifying units,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R4C2,30:39.0,30:44.0,34:22.0,34:22.0,57,,57,0,3,1,1,Find Y, Simple~~Using simple numbers~~Using small numbers,3~~3~~3,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R3C1,34:22.0,34:34.0,34:34.0,34:34.0,12,12,,1,0,0,1,Define Variable,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-1,LDEMO_WKST,1,R3C2,34:34.0,35:13.0,35:13.0,35:13.0,39,39,,1,0,0,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,4~~4~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R1C2,36:51.0,36:55.0,36:55.0,36:55.0,4,4,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R4C2,36:55.0,37:00.0,37:00.0,37:00.0,5,5,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,4~~5~~5,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R5C2,37:00.0,37:12.0,37:12.0,37:12.0,12,12,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,5~~6~~6,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R1C1,35:51.0,36:51.0,37:45.0,37:45.0,82,,82,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R4C1,37:45.0,37:51.0,37:51.0,37:51.0,6,6,,1,0,0,1,Entering a given,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R5C1,37:51.0,37:54.0,37:54.0,37:54.0,3,3,,1,0,0,1,Entering a given,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R3C1,37:54.0,37:57.0,37:57.0,37:57.0,3,3,,1,0,0,1,Define Variable,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T22C,1,R3C2,37:12.0,37:16.0,38:07.0,38:07.0,21,,21,0,3,0,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,7~~7~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R1C2,38:13.0,39:00.0,39:00.0,39:00.0,47,47,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R2C2,39:00.0,39:04.0,39:04.0,39:04.0,4,4,,1,0,0,1,Identifying units,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R4C2,39:04.0,39:06.0,39:06.0,39:06.0,2,2,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,6~~8~~8,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R5C2,39:06.0,39:14.0,39:14.0,39:14.0,8,8,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,7~~9~~9,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R1C1,39:14.0,39:24.0,39:24.0,39:24.0,10,10,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R4C1,39:24.0,39:28.0,39:28.0,39:28.0,4,4,,1,0,0,1,Entering a given,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R5C1,39:28.0,39:31.0,39:31.0,39:31.0,3,3,,1,0,0,1,Entering a given,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R6C2,39:31.0,39:36.0,39:36.0,39:36.0,5,5,,1,0,0,1,Entering a given,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R6C1,39:36.0,39:57.0,39:57.0,39:57.0,21,21,,1,0,0,1,Using simple numbers~~Using small numbers~~Find X, Simple,10~~10~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R3C1,39:58.0,40:02.0,40:02.0,40:02.0,4,4,,1,0,0,1,Define Variable,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,RXMX1B,1,R3C2,39:57.0,39:58.0,40:07.0,40:07.0,6,,6,0,1,0,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,11~~11~~3,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R1C1,40:11.0,40:48.0,41:03.0,41:03.0,52,,52,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R4C1,41:03.0,41:11.0,42:12.0,42:12.0,49,,49,0,2,0,1,Entering a given~~Convert unit, standard,9~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R2C1,42:12.0,42:20.0,43:00.0,43:00.0,48,,48,0,6,0,1,Identifying units,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R5C1,43:16.0,43:33.0,43:39.0,43:39.0,23,,23,0,2,0,1,Entering a given,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R1C2,41:11.0,41:23.0,44:24.0,44:24.0,81,,81,0,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R2C2,44:24.0,44:30.0,44:30.0,44:30.0,6,6,,1,0,0,1,Identifying units,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R4C2,44:30.0,44:32.0,44:32.0,44:32.0,2,2,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,8~~12~~12,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R5C2,44:32.0,44:34.0,44:34.0,44:34.0,2,2,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,9~~13~~13,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R6C2,46:02.0,46:07.0,46:07.0,46:07.0,5,5,,1,0,0,1,Find Y, Simple~~Using simple numbers~~Using small numbers,10~~14~~14,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R6C1,44:34.0,45:42.0,46:21.0,46:21.0,102,,102,0,3,0,1,Entering a given~~Convert unit, standard,11~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R3C1,46:21.0,46:25.0,46:25.0,46:25.0,4,4,,1,0,0,1,Define Variable,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T24B,1,R3C2,46:25.0,46:29.0,46:29.0,46:29.0,4,4,,1,0,0,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,15~~15~~4,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T17,1,R1C2,46:34.0,47:07.0,47:26.0,47:26.0,52,,52,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,19UbXBlPPK,Unit CTA1_01, Section CTA1_01-2,BH1T17,1,R4C2,47:26.0,48:14.0,50:28.0,50:28.0,116,,116,0,2,0,1,Find Y, Simple~~Using simple numbers~~Using large numbers,11~~16~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R1C1,23:50.0,25:01.0,25:01.0,25:01.0,71,71,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R1C2,25:01.0,25:18.0,25:18.0,25:18.0,17,17,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R1C3,25:18.0,25:28.0,25:28.0,25:28.0,10,10,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R3C1,25:31.0,25:35.0,25:35.0,25:35.0,4,4,,1,0,0,1,Define Variable,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R2C1,25:28.0,25:31.0,25:41.0,25:41.0,9,,9,0,1,0,1,Identifying units,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R2C2,25:41.0,25:44.0,25:44.0,25:44.0,3,3,,1,0,0,1,Identifying units,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R2C3,25:44.0,25:49.0,25:49.0,25:49.0,5,5,,1,0,0,1,Identifying units,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R3C2,25:49.0,28:52.0,29:37.0,29:37.0,228,,228,0,1,5,1,Using simple numbers~~Write expression, positive slope~~Using large numbers,1~~1~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R3C3,29:37.0,29:52.0,29:52.0,29:52.0,15,15,,1,0,0,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,2~~1~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R4C2,30:13.0,30:15.0,,30:15.0,2,,2,0,1,0,0,Using simple numbers~~Using large numbers~~Find Y, positive slope,3~~2~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R4C3,30:15.0,30:18.0,,30:18.0,3,,3,0,1,0,0,Find Y, Simple~~Using simple numbers~~Using small numbers,1~~4~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R4C1,29:52.0,30:03.0,30:49.0,30:49.0,52,,52,0,2,0,1,Entering a given,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R5C1,30:49.0,30:55.0,30:55.0,30:55.0,6,6,,1,0,0,1,Using simple numbers~~Using small numbers~~Find X, Simple,5~~3~~1,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R6C3,31:10.0,31:29.0,31:29.0,31:29.0,19,19,,1,0,0,1,Entering a given,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R7C3,32:34.0,32:36.0,,32:36.0,2,,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R7C2,31:29.0,32:34.0,,32:38.0,67,,67,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,100+8x = 450,33:38.0,34:20.0,34:20.0,34:20.0,42,42,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],1,,,,,,,,,,,,,,,,,,
904,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,8x = 350,34:20.0,34:25.0,34:25.0,34:25.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],1~~1,,,,,,,,,,,,,,,,,,,
905,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R6C2,30:55.0,31:10.0,,34:45.0,59,,59,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,ValidEquations,33:04.0,33:38.0,35:02.0,36:20.0,70,,70,0,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,10X = 450,35:02.0,35:06.0,35:06.0,35:06.0,4,4,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],2~~2,,,,,,,,,,,,,,,,,,,
908,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R6C1,35:06.0,35:10.0,35:10.0,35:10.0,4,4,,1,0,0,1,Using simple numbers~~Using small numbers~~Find X, Simple,6~~4~~2,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,100+8X = 10X,36:20.0,36:24.0,36:32.0,36:32.0,12,,12,0,1,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],1
910,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,100 = 2X,36:32.0,37:03.0,37:08.0,37:08.0,36,,36,0,1,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],3~~3,,,,,,,,,,,,,,,,,,,
911,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,R7C1,32:38.0,32:40.0,37:11.0,37:11.0,56,,56,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,YLabel,37:11.0,37:30.0,37:41.0,37:41.0,30,,30,0,2,0,1,Labelling the axes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,XLabel,37:41.0,37:46.0,37:46.0,37:46.0,5,5,,1,0,0,1,Labelling the axes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,yMax,38:09.0,38:14.0,38:14.0,38:14.0,5,5,,1,0,0,1,Changing axis bounds,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,yScale,38:14.0,38:18.0,38:18.0,38:18.0,4,4,,1,0,0,1,Changing axis intervals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,xMax,37:46.0,38:09.0,38:56.0,38:56.0,61,,61,0,1,0,1,Changing axis bounds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,1,xScale,38:56.0,40:31.0,40:31.0,40:31.0,95,95,,1,0,0,1,Changing axis intervals,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,2,Intersection 1 X,41:26.0,42:08.0,43:29.0,43:29.0,123,,123,0,6,4,1,Labelling point of intersection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,2oNLCndtam,Unit CTA1_12, Section CTA1_12-1,LDEMO_SYS,2,Intersection 1 Y,43:29.0,43:32.0,43:32.0,43:32.0,3,3,,1,0,0,1,Labelling point of intersection,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,2oNLCndtam,Unit CTA1_12, Section CTA1_12-2,SYS03,1,R1C1,43:40.0,44:01.0,44:01.0,44:01.0,21,21,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,2oNLCndtam,Unit CTA1_12, Section CTA1_12-2,SYS03,1,R2C1,44:01.0,44:02.0,44:09.0,44:09.0,8,,8,0,1,0,1,Identifying units,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,2oNLCndtam,Unit CTA1_12, Section CTA1_12-2,SYS03,1,R1C2,44:09.0,44:30.0,44:30.0,44:30.0,21,21,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
